frame,t,x,y,v,a,jerk,jounce
164,5.466666666666667,468.0,439.0,2934.172977074731,125197.41836260178,-1356397.607015126,16021600.313668793
165,5.5,469.0,439.0,2950.1269104817643,74787.71763892577,-751006.8777237402,25415944.753982335
166,5.533333333333333,475.0,438.0,2387.3407440388937,75130.29318101911,337998.70991703,16292272.095343655
167,5.566666666666666,479.0,459.0,2435.2574749069345,97320.96496672777,335144.5952991704,1837444.2426459969
168,5.6,479.0,463.0,4454.0530949816675,97473.26620096379,460494.9927600965,-5090097.682803711
169,5.633333333333333,481.0,1182.0,4416.971055656673,128020.63115073419,-4195.2502210769335,-13881642.47303986
170,5.666666666666667,479.0,497.0,4416.017122249641,97193.582852892,-464947.83877589414,-13917775.40615743
171,5.7,479.0,502.0,2331.00882351033,97024.1085656746,-932046.9439649057,632952.5392940778
172,5.733333333333333,479.0,507.0,2303.224724771448,35057.11992189829,-422751.0028229556,14692899.909626493
173,5.766666666666667,479.0,527.0,361.16486756500495,68840.70837747757,47479.71667686055,7354625.544308652
174,5.8,479.0,535.0,2726.63809847367,38222.434367022324,67557.36679762122,15213803.663474813
175,5.833333333333333,473.0,551.0,2693.7451050165246,73344.5328306523,1061733.294241848,6747306.468885276
176,5.866666666666666,454.0,556.0,2609.7451050165246,109004.65398314553,517377.7980566396,-7849413.219525002
177,5.9,501.0,1349.0,4924.548458596188,107836.38603442829,538439.0796068478,329737.4407204644
178,5.933333333333334,440.0,555.0,4826.5994922923,144900.59262360208,539360.2941046706,-8202028.46849077
179,5.966666666666667,501.0,1349.0,4840.626832041381,143793.73897473965,-8362.81829253668,-8183068.441655723
180,6.0,501.0,1349.0,4798.519825498526,144343.0714040996,-6177.602005710825,7901524.06416751
181,6.033333333333333,501.0,1349.0,4857.6890742684745,143381.8988410256,518405.45265196415,-32219.583146819474
182,6.066666666666666,380.0,555.0,4800.181346313203,178903.43491423054,-8325.574215498655,-351267.8200674787
183,6.1,501.0,1349.0,7188.339632524568,142826.86055999238,494987.597980799,14932926.22096925
184,6.133333333333333,363.0,565.0,4838.914015050324,211902.6081129505,987202.8405157847,-8404132.621052733
185,6.166666666666667,364.0,584.0,7055.911985279435,208640.38326104468,-65287.910089383295,-8222108.063359228
186,6.2,501.0,1349.0,9269.762973990888,207550.08077365826,439062.3029585028,-154198.4093217574
187,6.233333333333333,363.0,604.0,6980.358453648233,237911.2034582782,-75567.80404416716,-22741565.086497515
188,6.266666666666667,363.0,623.0,6711.4363505934325,202512.2271707138,-1077042.0361413315,-14430415.1759994
189,6.3,501.0,1349.0,6723.36139740993,166108.40104885612,-1037595.4824441271,1200772.2837587695
190,6.333333333333333,364.0,637.0,4566.363427180818,133339.195007772,-996990.5505574134,-412524.35516096174
191,6.366666666666666,364.0,656.0,2395.343189699418,99642.36434502856,-1065097.1061215245,6551781.462621846
192,6.4,364.0,661.0,2425.298656053349,62332.721266337016,-560205.1197159569,15382344.890361737
193,6.433333333333334,364.0,676.0,2310.6484650657426,62295.356363964755,-39607.4467640752,7858233.344394116
194,6.466666666666667,364.0,695.0,2337.6939091810577,59692.224815398666,-36322.89675634901,593226.4040838823
195,6.5,363.0,700.0,2277.6939091810577,59873.829913541485,-59.01982514957781,-5796961.310047899
196,6.533333333333333,501.0,1349.0,2232.6939091810577,59688.290160388686,-422786.98409287556,-576353.9227693735
197,6.566666666666666,364.0,733.0,2160.631436284272,31688.03097401645,-38482.61467644106,10907719.875433106
198,6.6,501.0,1349.0,244.27809113443155,57122.782515292616,304394.34093599825,5136190.69705254
199,6.633333333333333,364.0,752.0,1868.54138314274,51980.98703641633,303930.098460395,12804241.977682281
200,6.666666666666667,501.0,1349.0,3618.199921258106,77384.78907931896,1158010.4727814835,12719556.264020855
201,6.7,373.0,780.0,3621.199921258106,129181.68522184857,1151900.5160617852,-6040579.764311746
202,6.733333333333333,392.0,785.0,5328.094469846272,154178.1568167713,755305.1551607007,-5700862.084327497
203,6.766666666666667,501.0,1349.0,6952.798774381416,179535.36223256195,771843.0437732856,151421.52139236225
204,6.8,412.0,785.0,6936.384586845958,205634.35973499034,765399.9232535248,-6199189.371199022
205,6.833333333333333,426.0,785.0,6879.17545713251,230562.02378279692,358563.7523600174,-11695927.213357272
206,6.866666666666666,501.0,1349.0,8512.972375301864,229538.60989232484,-14328.557636959973,-5483144.928286492
207,6.8999999999999995,501.0,1349.0,8498.527235115615,229606.78660699958,-6979.242859082151,-11121920.520592399
208,6.933333333333334,465.0,786.0,6902.744028699955,229073.3270350527,-755789.9256764532,-16886807.560494468
209,6.966666666666667,475.0,785.0,6886.258306402044,179220.7915619027,-1132766.4135587134,-5788149.230859133
210,7.0,501.0,1349.0,5232.808898000127,153555.56613113845,-1141666.5410670622,5608425.009584374
211,7.033333333333333,514.0,787.0,3566.178135245185,103109.68882409857,-758871.4129197552,5713379.705283701
212,7.066666666666666,524.0,786.0,1934.0279805699931,102964.13860315477,-760774.5607148155,11205966.36779927
