frame,t_sec,x,y
569,18.966666666666665,826,377
570,19.0,826,371
571,19.03333333333333,826,358
572,19.066666666666666,826,334
573,19.1,826,333
574,19.133333333333333,829,1014
575,19.166666666666668,826,296
576,19.2,826,300
577,19.233333333333334,828,982
578,19.266666666666666,826,261
579,19.3,826,261
580,19.333333333333332,829,946
581,19.366666666666667,826,224
582,19.4,826,218
583,19.433333333333334,829,914
584,19.466666666666665,826,198
585,19.5,826,180
586,19.53333333333333,826,170
587,19.566666666666666,807,170
588,19.6,802,170
589,19.633333333333333,788,170
590,19.666666666666668,768,170
591,19.7,773,170
592,19.733333333333334,778,170
593,19.766666666666666,802,170
594,19.8,811,170
595,19.833333333333332,821,170
596,19.866666666666667,826,181
597,19.9,826,189
598,19.933333333333334,826,194
599,19.966666666666665,826,213
600,20.0,826,219
601,20.03333333333333,826,232
602,20.066666666666666,826,251
603,20.1,826,258
604,20.133333333333333,826,271
605,20.166666666666668,829,648
606,20.2,826,290
607,20.233333333333334,829,628
608,20.266666666666666,807,324
609,20.3,807,324
610,20.333333333333332,501,1349
