object_id,frame,t_sec,x,y
ghost_red,136,4.533333333333333,881,1347
ghost_red,136,4.533333333333333,825,259
ghost_cyan,136,4.533333333333333,829,1022
ghost_mag,136,4.533333333333333,712,616
pacman,137,4.566666666666666,190,1253
ghost_red,137,4.566666666666666,881,1347
ghost_red,137,4.566666666666666,827,246
ghost_cyan,137,4.566666666666666,828,1036
ghost_mag,137,4.566666666666666,713,595
pacman,138,4.6,267,324
ghost_red,138,4.6,881,1347
ghost_red,138,4.6,825,241
ghost_cyan,138,4.6,828,1041
ghost_mag,138,4.6,714,585
pacman,139,4.633333333333334,271,324
ghost_red,139,4.633333333333334,881,1347
ghost_red,139,4.633333333333334,825,228
ghost_cyan,139,4.633333333333334,828,1055
ghost_mag,139,4.633333333333334,712,579
pacman,140,4.666666666666667,222,1253
ghost_red,140,4.666666666666667,881,1347
ghost_red,140,4.666666666666667,824,210
ghost_cyan,140,4.666666666666667,828,1070
ghost_mag,140,4.666666666666667,706,564
pacman,141,4.7,227,1253
ghost_red,141,4.7,881,1347
ghost_red,141,4.7,832,201
ghost_cyan,141,4.7,829,1074
ghost_mag,141,4.7,703,564
pacman,142,4.733333333333333,310,324
ghost_red,142,4.733333333333333,881,1347
ghost_red,142,4.733333333333333,838,188
ghost_cyan,142,4.733333333333333,828,1089
ghost_mag,142,4.733333333333333,693,570
pacman,143,4.766666666666667,257,1253
ghost_red,143,4.766666666666667,881,1347
ghost_red,143,4.766666666666667,826,175
ghost_cyan,143,4.766666666666667,828,1104
ghost_mag,143,4.766666666666667,674,569
pacman,144,4.8,262,1253
ghost_red,144,4.8,881,1347
ghost_red,144,4.8,837,176
ghost_cyan,144,4.8,827,1113
ghost_mag,144,4.8,669,570
pacman,145,4.833333333333333,270,1253
ghost_red,145,4.833333333333333,881,1347
ghost_red,145,4.833333333333333,850,165
ghost_cyan,145,4.833333333333333,827,1123
